categoria,metrica,media,std,min,max,n
TODAS,faithfulness,0.792,0.313,0.0,1.0,55
TODAS,answer_relevancy,0.686,0.426,0.0,0.995,55
TODAS,context_precision,0.682,0.369,0.0,1.0,55
TODAS,context_recall,0.727,0.449,0.0,1.0,55
precio-actividad,faithfulness,0.904,0.181,0.4,1.0,15
precio-actividad,answer_relevancy,0.866,0.242,0.0,0.971,15
precio-actividad,context_precision,0.851,0.194,0.383,1.0,15
precio-actividad,context_recall,1.0,0.0,1.0,1.0,15
precio-adversarial,faithfulness,0.333,0.0,0.333,0.333,5
precio-adversarial,answer_relevancy,0.0,0.0,0.0,0.0,5
precio-adversarial,context_precision,0.464,0.299,0.125,0.885,5
precio-adversarial,context_recall,0.6,0.548,0.0,1.0,5
precio-coloquial,faithfulness,0.586,0.233,0.333,0.8,5
precio-coloquial,answer_relevancy,0.179,0.4,0.0,0.895,5
precio-coloquial,context_precision,0.448,0.485,0.0,1.0,5
precio-coloquial,context_recall,0.0,0.0,0.0,0.0,5
precio-insumo,faithfulness,0.756,0.394,0.0,1.0,15
precio-insumo,answer_relevancy,0.68,0.426,0.0,0.99,15
precio-insumo,context_precision,0.538,0.433,0.0,1.0,15
precio-insumo,context_recall,0.533,0.516,0.0,1.0,15
precio-nacional,faithfulness,0.917,0.25,0.25,1.0,10
precio-nacional,answer_relevancy,0.883,0.311,0.0,0.995,10
precio-nacional,context_precision,0.711,0.358,0.0,1.0,10
precio-nacional,context_recall,0.9,0.316,0.0,1.0,10
precio-proveedor,faithfulness,1.0,0.0,1.0,1.0,5
precio-proveedor,answer_relevancy,0.966,0.035,0.918,0.995,5
precio-proveedor,context_precision,1.0,0.0,1.0,1.0,5
precio-proveedor,context_recall,1.0,0.0,1.0,1.0,5
