categoria,metrica,media,std,min,max,n
TODAS,faithfulness,0.868,0.239,0.333,1.0,55
TODAS,answer_relevancy,0.753,0.382,0.0,0.995,55
TODAS,context_precision,0.703,0.344,0.0,1.0,55
TODAS,context_recall,0.809,0.391,0.0,1.0,55
precio-actividad,faithfulness,0.939,0.106,0.714,1.0,15
precio-actividad,answer_relevancy,0.927,0.033,0.869,0.978,15
precio-actividad,context_precision,0.905,0.174,0.533,1.0,15
precio-actividad,context_recall,1.0,0.0,1.0,1.0,15
precio-adversarial,faithfulness,0.333,0.0,0.333,0.333,5
precio-adversarial,answer_relevancy,0.0,0.0,0.0,0.0,5
precio-adversarial,context_precision,0.46,0.199,0.2,0.723,5
precio-adversarial,context_recall,0.5,0.5,0.0,1.0,5
precio-coloquial,faithfulness,0.556,0.154,0.333,0.75,5
precio-coloquial,answer_relevancy,0.0,0.0,0.0,0.0,5
precio-coloquial,context_precision,0.404,0.427,0.0,1.0,5
precio-coloquial,context_recall,0.4,0.548,0.0,1.0,5
precio-insumo,faithfulness,0.956,0.172,0.333,1.0,15
precio-insumo,answer_relevancy,0.868,0.242,0.0,0.991,15
precio-insumo,context_precision,0.558,0.376,0.0,1.0,15
precio-insumo,context_recall,0.667,0.488,0.0,1.0,15
precio-nacional,faithfulness,1.0,0.0,1.0,1.0,10
precio-nacional,answer_relevancy,0.977,0.027,0.91,0.995,10
precio-nacional,context_precision,0.742,0.326,0.143,1.0,10
precio-nacional,context_recall,1.0,0.0,1.0,1.0,10
precio-proveedor,faithfulness,1.0,0.0,1.0,1.0,5
precio-proveedor,answer_relevancy,0.947,0.04,0.901,0.995,5
precio-proveedor,context_precision,1.0,0.0,1.0,1.0,5
precio-proveedor,context_recall,1.0,0.0,1.0,1.0,5
